RegionType,RegionName,City,State,Metro,CBSATitle,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,New York,New York,NY,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",0,9.526413346,93.49,0.9324,0.5769,610700,0.626132806,8.898002853,0.044036352,11.9,0.08133425,0.130830268,166
City,Los Angeles,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",1,7.001853568,93.64,5.4705,2.0276,562800,0.571837026,7.816091954,0.022805615,107.4,0.067477615,0.039871293,76
City,Chicago,Chicago,IL,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",2,2.149212234,74.34,,,199500,-0.0501002,6.62747194,0.039553885,97.4,0.268882335,0.048504221,112
City,Houston,Houston,TX,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",3,8.790546803,90.27,,,143600,0.913562895,7.807807808,0.03520195,56.2,0.067571307,0.022061554,86.5
City,Philadelphia,Philadelphia,PA,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4,1.494902688,80,13.6842,4.641,120100,0.334168755,3.534482759,0.020574521,70.3,0.2161336,0.067620406,111
City,Phoenix,Phoenix,AZ,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",5,5.473586654,84.15,7.6968,3.0543,187200,0.862068966,9.090909091,0.038659188,92.2,0.179311172,0.023373999,68
City,Las Vegas,Las Vegas,NV,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV",6,2.96107507,81.2,13.261,4.7354,194000,0.674623768,9.542631282,0.059489691,88.5,0.223056902,0.076764043,78
City,San Antonio,San Antonio,TX,"San Antonio, TX","San Antonio-New Braunfels, TX",7,8.085264133,84.88,,,129400,0.310077519,6.502057613,0.042102009,43.8,0.108243421,0.022978646,88
City,San Diego,San Diego,CA,"San Diego, CA","San Diego-Carlsbad, CA",8,8.556070436,88.07,3.8149,1.6844,528700,0.532420612,6.614236741,0.027665973,44.3,0.074846523,0.021122757,70
City,Dallas,Dallas,TX,"Dallas-Fort Worth, TX","Dallas-Fort Worth-Arlington, TX",9,9.054680259,94.18,6.5959,4.0511,134200,0.750750751,15.98962835,0.061654247,62.2,0.083101387,0.024138656,73
City,San Jose,San Jose,CA,"San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA",10,9.122335496,95.64,3.3456,0.9157,808800,0.609528548,10.52200055,0.028187438,48.7,0.033369758,0.024816605,51
City,Jacksonville,Jacksonville,FL,"Jacksonville, FL","Jacksonville, FL",11,0.633920297,66.83,,,132700,0.454201363,6.672025723,0.015365486,115.7,0.24817282,0.062567086,92
City,San Francisco,San Francisco,CA,"San Francisco, CA","San Francisco-Oakland-Hayward, CA",12,9.410565338,97.44,1.311,0.3986,1118600,0.638776428,13.60958765,0.039469873,138.4,0.024385495,0.00723303,43
